Timestamp,Source MAC,Destination MAC,In Port
2023-03-01 22:13:16.791121,12:65:3c:96:43:ac,33:33:00:00:00:02,2
2023-03-01 22:13:16.793105,12:65:3c:96:43:ac,33:33:00:00:00:02,8
2023-03-01 22:13:16.795036,12:65:3c:96:43:ac,33:33:00:00:00:02,9
2023-03-01 22:13:16.795997,12:65:3c:96:43:ac,33:33:00:00:00:02,9
2023-03-01 22:13:16.798192,12:65:3c:96:43:ac,33:33:00:00:00:02,9
2023-03-01 22:13:16.799065,12:65:3c:96:43:ac,33:33:00:00:00:02,9
2023-03-01 22:13:16.799959,12:65:3c:96:43:ac,33:33:00:00:00:02,9
2023-03-01 22:13:16.800929,12:65:3c:96:43:ac,33:33:00:00:00:02,9
2023-03-01 22:13:16.802173,12:65:3c:96:43:ac,33:33:00:00:00:02,9
2023-03-01 22:13:33.174982,56:fc:4e:f7:01:27,33:33:00:00:00:02,4
2023-03-01 22:13:33.176618,32:27:b6:13:95:d1,33:33:00:00:00:02,8
2023-03-01 22:13:33.178766,56:fc:4e:f7:01:27,33:33:00:00:00:02,3
2023-03-01 22:13:33.180930,32:27:b6:13:95:d1,33:33:00:00:00:02,4
2023-03-01 22:13:33.183211,56:fc:4e:f7:01:27,33:33:00:00:00:02,9
2023-03-01 22:13:33.184256,56:fc:4e:f7:01:27,33:33:00:00:00:02,9
2023-03-01 22:13:33.185644,56:fc:4e:f7:01:27,33:33:00:00:00:02,9
2023-03-01 22:13:33.186599,56:fc:4e:f7:01:27,33:33:00:00:00:02,9
2023-03-01 22:13:33.187766,56:fc:4e:f7:01:27,33:33:00:00:00:02,9
2023-03-01 22:13:33.189020,56:fc:4e:f7:01:27,33:33:00:00:00:02,9
2023-03-01 22:13:33.190322,56:fc:4e:f7:01:27,33:33:00:00:00:02,9
2023-03-01 22:13:33.194100,32:27:b6:13:95:d1,33:33:00:00:00:02,9
2023-03-01 22:13:33.195566,32:27:b6:13:95:d1,33:33:00:00:00:02,9
2023-03-01 22:13:33.197403,32:27:b6:13:95:d1,33:33:00:00:00:02,9
2023-03-01 22:13:33.198840,32:27:b6:13:95:d1,33:33:00:00:00:02,9
2023-03-01 22:13:33.200139,32:27:b6:13:95:d1,33:33:00:00:00:02,9
2023-03-01 22:13:33.201356,32:27:b6:13:95:d1,33:33:00:00:00:02,9
2023-03-01 22:13:33.202580,32:27:b6:13:95:d1,33:33:00:00:00:02,9
2023-03-01 22:13:49.559210,26:b2:f7:8b:c6:61,33:33:00:00:00:02,5
2023-03-01 22:13:49.560412,5e:ae:6f:95:ab:6b,33:33:00:00:00:02,1
2023-03-01 22:13:49.562767,26:b2:f7:8b:c6:61,33:33:00:00:00:02,7
2023-03-01 22:13:49.563789,5e:ae:6f:95:ab:6b,33:33:00:00:00:02,7
2023-03-01 22:13:49.565910,26:b2:f7:8b:c6:61,33:33:00:00:00:02,9
2023-03-01 22:13:49.569566,26:b2:f7:8b:c6:61,33:33:00:00:00:02,9
2023-03-01 22:13:49.570775,5e:ae:6f:95:ab:6b,33:33:00:00:00:02,9
2023-03-01 22:13:49.571900,26:b2:f7:8b:c6:61,33:33:00:00:00:02,9
2023-03-01 22:13:49.573286,5e:ae:6f:95:ab:6b,33:33:00:00:00:02,9
2023-03-01 22:13:49.574752,26:b2:f7:8b:c6:61,33:33:00:00:00:02,9
2023-03-01 22:13:49.576289,5e:ae:6f:95:ab:6b,33:33:00:00:00:02,9
2023-03-01 22:13:49.578451,26:b2:f7:8b:c6:61,33:33:00:00:00:02,9
2023-03-01 22:13:49.580715,5e:ae:6f:95:ab:6b,33:33:00:00:00:02,9
2023-03-01 22:13:49.582442,5e:ae:6f:95:ab:6b,33:33:00:00:00:02,9
2023-03-01 22:13:49.584086,26:b2:f7:8b:c6:61,33:33:00:00:00:02,9
2023-03-01 22:13:49.585923,5e:ae:6f:95:ab:6b,33:33:00:00:00:02,9
2023-03-01 22:13:49.587048,26:b2:f7:8b:c6:61,33:33:00:00:00:02,9
2023-03-01 22:13:49.588086,5e:ae:6f:95:ab:6b,33:33:00:00:00:02,9
2023-03-01 22:14:05.943364,a2:ec:ec:1d:6d:ba,33:33:00:00:00:02,8
2023-03-01 22:14:05.946039,a2:ec:ec:1d:6d:ba,33:33:00:00:00:02,1
2023-03-01 22:14:05.948408,a2:ec:ec:1d:6d:ba,33:33:00:00:00:02,9
2023-03-01 22:14:05.951127,a2:ec:ec:1d:6d:ba,33:33:00:00:00:02,9
2023-03-01 22:14:05.952674,a2:ec:ec:1d:6d:ba,33:33:00:00:00:02,9
2023-03-01 22:14:05.954281,a2:ec:ec:1d:6d:ba,33:33:00:00:00:02,9
2023-03-01 22:14:05.956203,a2:ec:ec:1d:6d:ba,33:33:00:00:00:02,9
2023-03-01 22:14:05.958213,a2:ec:ec:1d:6d:ba,33:33:00:00:00:02,9
2023-03-01 22:14:05.960093,a2:ec:ec:1d:6d:ba,33:33:00:00:00:02,9
2023-03-01 22:14:22.326898,f6:ed:88:dc:81:e0,33:33:00:00:00:02,5
2023-03-01 22:14:22.330396,f6:ed:88:dc:81:e0,33:33:00:00:00:02,9
2023-03-01 22:14:22.331630,f6:ed:88:dc:81:e0,33:33:00:00:00:02,9
2023-03-01 22:14:22.333217,f6:ed:88:dc:81:e0,33:33:00:00:00:02,9
2023-03-01 22:14:22.334701,f6:ed:88:dc:81:e0,33:33:00:00:00:02,9
2023-03-01 22:14:22.336124,f6:ed:88:dc:81:e0,33:33:00:00:00:02,9
2023-03-01 22:14:22.337545,f6:ed:88:dc:81:e0,33:33:00:00:00:02,9
2023-03-01 22:14:22.339760,2e:dc:86:02:d4:3d,33:33:00:00:00:02,3
2023-03-01 22:14:22.341852,f6:ed:88:dc:81:e0,33:33:00:00:00:02,9
2023-03-01 22:14:22.343963,3a:3e:1a:93:d2:2b,33:33:00:00:00:02,6
2023-03-01 22:14:22.348530,2e:dc:86:02:d4:3d,33:33:00:00:00:02,5
2023-03-01 22:14:22.350393,3a:3e:1a:93:d2:2b,33:33:00:00:00:02,8
2023-03-01 22:14:22.353195,2e:dc:86:02:d4:3d,33:33:00:00:00:02,9
2023-03-01 22:14:22.354786,3a:3e:1a:93:d2:2b,33:33:00:00:00:02,9
2023-03-01 22:14:22.358048,2e:dc:86:02:d4:3d,33:33:00:00:00:02,9
2023-03-01 22:14:22.360422,2e:dc:86:02:d4:3d,33:33:00:00:00:02,9
2023-03-01 22:14:22.362403,3a:3e:1a:93:d2:2b,33:33:00:00:00:02,9
2023-03-01 22:14:22.364830,2e:dc:86:02:d4:3d,33:33:00:00:00:02,9
2023-03-01 22:14:22.366904,3a:3e:1a:93:d2:2b,33:33:00:00:00:02,9
2023-03-01 22:14:22.369062,2e:dc:86:02:d4:3d,33:33:00:00:00:02,9
2023-03-01 22:14:22.370694,3a:3e:1a:93:d2:2b,33:33:00:00:00:02,9
2023-03-01 22:14:22.372137,3a:3e:1a:93:d2:2b,33:33:00:00:00:02,9
2023-03-01 22:14:22.373724,2e:dc:86:02:d4:3d,33:33:00:00:00:02,9
2023-03-01 22:14:22.375588,3a:3e:1a:93:d2:2b,33:33:00:00:00:02,9
2023-03-01 22:14:22.377447,2e:dc:86:02:d4:3d,33:33:00:00:00:02,9
2023-03-01 22:14:22.379032,3a:3e:1a:93:d2:2b,33:33:00:00:00:02,9
2023-03-01 22:14:38.711081,be:dc:90:60:d8:2c,33:33:00:00:00:02,2
2023-03-01 22:14:38.713928,3a:53:48:d9:f3:c6,33:33:00:00:00:02,4
2023-03-01 22:14:38.717910,be:dc:90:60:d8:2c,33:33:00:00:00:02,9
2023-03-01 22:14:38.720145,0e:d0:79:44:15:32,33:33:00:00:00:02,7
2023-03-01 22:14:38.721988,be:dc:90:60:d8:2c,33:33:00:00:00:02,9
2023-03-01 22:14:38.724025,be:dc:90:60:d8:2c,33:33:00:00:00:02,9
2023-03-01 22:14:38.727016,0e:ee:71:f0:25:b7,33:33:00:00:00:02,3
2023-03-01 22:14:38.729667,42:84:f4:b6:6f:93,33:33:00:00:00:02,5
